work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,AI Scientist,ILS,423834,IL,0,IL,L
2021,MI,FT,Applied Machine Learning Scientist,USD,423000,US,50,US,L
2020,SE,FT,Data Scientist,USD,412000,US,100,US,L
2023,EX,FT,Director of Data Science,USD,353200,US,0,US,M
2023,SE,FT,Computer Vision Engineer,USD,342810,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,342300,US,0,US,L
2023,EX,FT,Head of Data,USD,329500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,318300,US,100,US,M
2023,SE,FT,Data Scientist,USD,,US,0,US,M
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L
2023,SE,FT,Machine Learning Engineer,USD,304000,US,100,US,M
2022,EN,FT,AI Developer,USD,300000,IN,50,IN,L
2023,MI,FT,Machine Learning Engineer,USD,300000,US,0,US,M
2023,SE,FT,Data Scientist,USD,297300,US,100,US,M
2023,SE,FT,Research Engineer,USD,293000,US,0,US,M
2023,SE,FT,Analytics Engineer,USD,289800,US,0,US,M
2023,SE,FT,Analytics Engineer,USD,289800,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,289076,US,0,US,M
2023,EX,FT,Data Engineer,USD,286000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,USD,283200,US,100,US,M
2023,MI,FT,Machine Learning Engineer,USD,280700,US,100,US,M
2023,SE,FT,Data Architect,USD,280100,US,100,US,M
2023,SE,FT,Computer Vision Engineer,USD,280000,US,0,US,M
2023,SE,FT,Data Scientist,USD,275300,US,100,US,M
2023,SE,FT,Data Scientist,USD,275300,US,100,US,M
2023,SE,FT,Data Scientist,USD,275300,US,100,US,M
2023,SE,FT,Data Scientist,USD,275300,US,100,US,M
2022,SE,FT,AI Developer,USD,275000,CA,0,CA,S
2023,SE,FT,Research Engineer,USD,275000,DE,0,DE,M
2023,SE,FT,Data Engineer,USD,270703,US,0,US,M
2023,EX,FT,Head of Data,USD,269600,US,0,US,M
2023,EX,FT,Data Engineer,USD,265000,US,0,US,M
2023,SE,FT,Data Scientist,USD,262000,US,100,US,M
2023,SE,FT,Applied Scientist,USD,260000,US,0,US,L
2023,SE,FT,Applied Scientist,USD,260000,US,0,US,L
2023,SE,FT,Applied Scientist,USD,260000,US,0,US,L
2023,EX,FT,Data Scientist,USD,258750,US,0,US,M
2023,SE,FT,Data Scientist,USD,258000,CA,0,CA,M
2023,SE,FT,Machine Learning Engineer,USD,257000,US,0,US,M
2023,SE,FT,Data Engineer,USD,253200,US,0,US,M
2023,SE,FT,Data Scientist,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,USD,252000,US,0,US,M
2023,SE,FT,Data Architect,USD,250500,US,0,US,M
2023,MI,FT,Machine Learning Engineer,USD,250000,US,0,US,M
2023,SE,FT,Research Scientist,USD,250000,US,0,US,M
2023,SE,FT,Data Scientist,USD,250000,US,0,US,M
2023,SE,FT,Data Engineer,USD,250000,US,0,US,M
2023,EX,FT,Director of Data Science,USD,249300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,247500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,,US,0,US,M
2023,SE,FT,Data Engineer,USD,247300,US,0,US,M
2023,SE,FT,Data Scientist,USD,245000,US,100,US,M
2023,SE,FT,Data Scientist,USD,245000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,USD,241000,US,0,US,M
2023,SE,FT,Data Engineer,USD,240500,US,0,US,L
2023,SE,FT,Data Engineer,USD,240000,US,0,US,M
2023,SE,FT,Data Scientist,USD,238000,US,100,US,M
2023,SE,FT,Data Engineer,USD,238000,US,0,US,M
